
57,Ranches Primary School,Arabian Ranches,FS 1 - YEAR 6 Academic CalendarFees Fact Sheet
58,Swiss International Scientific School FZ-LLC,Dubai Healthcare City,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
59,GEMS Founders School - Dubai Branch,AL BARSHA SECOND,FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
60,Hartland International School - FZ,Meydan City,",FS 1 - YEAR 13,FS 1 - YEAR 13 Academic CalendarFees Fact Sheet"
61,Jebel Ali School (Br of Taaleem Management (L L C)),JABAL ALI FIRST,FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
62,Arcadia British School,JABAL ALI FIRST,FS 1 - YEAR 11 Academic CalendarFees Fact Sheet
63,Brighton College Dubai L.L.C,AL BARSHA SECOND,FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
64,Sunmarke School L.L.C,Al Khail,"FS 1 - YEAR 13,FS 1 - YEAR 13 Academic CalendarFees Fact Sheet"
65,Kent College L.L.C - FZ,NADD AL SHIBA SECOND,FS 1 - YEAR 13 Academic CalendarFees Fact Sheet
66,Dubai Heights Academy,AL BARSHA SECOND,"FS 1 - YEAR 10,FS 1 - YEAR 4 Academic CalendarFees Fact Sheet"
67,Lycee Francais Jean Mermoz L.L.C,"AL QOUZ FIRST
",Pre primary - GRADE 10 Academic CalendarFees Fact Sheet
68,North London Collegiate School Middle East L.L.C - FZ,Meydan City,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
69,Dubai International Academy Albarsha,AL BARSHA FIRST,ECC (0-1) - GRADE 12 Academic CalendarFees Fact Sheet
70,Royal Grammar School Guildford L.L.C,Dubai Sports City,FS 1 - YEAR 8
71,Lycee Libanais Francophone Prive Meydan L.L.C - FZ,Meydan City,Pre primary - GRADE 12 Academic CalendarFees Fact Sheet
72,Al Shurooq Private School,JUMEIRA FIRST,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
73,Al Rashid Al Saleh Private School,OUD METHA,KG 1 - GRADE 12 Academic CalendarFees Fact Sheet
74,Al Basateen Private Nursery,AL KHWANEEJ FIRST,KG 1 - KG 2 Academic CalendarFees Fact Sheet
